map_size,p_frozen,gamma,n_iters,theta,n_i,mean_reward,stdev_reward
6,1.0,0.2,1000,1e-10,4,1.0,0.0
6,1.0,0.2,1000,0.001,5,0.99,0.09949874371066199
6,1.0,0.3,1000,1e-10,4,1.0,0.0
6,1.0,0.3,1000,0.001,5,1.0,0.0
6,1.0,0.4,1000,1e-10,5,1.0,0.0
6,1.0,0.4,1000,0.001,6,0.99,0.09949874371066199
6,1.0,0.5,1000,1e-10,5,0.99,0.09949874371066199
6,1.0,0.5,1000,0.001,5,0.99,0.09949874371066199
6,1.0,0.6,1000,1e-10,4,0.99,0.09949874371066199
6,1.0,0.6,1000,0.001,4,1.0,0.0
6,1.0,0.7,1000,1e-10,5,0.99,0.09949874371066199
6,1.0,0.7,1000,0.001,6,0.99,0.09949874371066199
6,1.0,0.8,1000,1e-10,11,0.99,0.09949874371066199
6,1.0,0.8,1000,0.001,4,1.0,0.0
6,1.0,0.9,1000,1e-10,5,0.99,0.09949874371066199
6,1.0,0.9,1000,0.001,4,0.99,0.09949874371066199
8,0.8,0.1,1000,1e-10,12,0.0,0.0
8,0.8,0.1,1000,0.001,10,0.06,0.23748684174075832
8,0.8,0.2,1000,1e-10,11,0.38,0.48538644398046393
8,0.8,0.2,1000,0.001,11,0.57,0.49507575177946245
8,0.8,0.3,1000,1e-10,5,0.32,0.46647615158762396
8,0.8,0.3,1000,0.001,14,0.52,0.49959983987187184
8,0.8,0.4,1000,1e-10,6,0.37,0.48280430818293246
8,0.8,0.4,1000,0.001,9,0.36,0.48000000000000004
8,0.8,0.5,1000,1e-10,4,0.36,0.48
8,0.8,0.5,1000,0.001,10,0.09,0.2861817604250837
8,0.8,0.6,1000,1e-10,9,0.53,0.4990991885387111
8,0.8,0.6,1000,0.001,4,0.51,0.49989998999799945
8,0.8,0.7,1000,1e-10,5,0.43,0.4950757517794625
8,0.8,0.7,1000,0.001,10,0.12,0.3249615361854384
8,0.8,0.8,1000,1e-10,11,0.27,0.4439594576084623
8,0.8,0.8,1000,0.001,4,0.57,0.49507575177946245
8,0.8,0.9,1000,1e-10,5,0.09,0.2861817604250837
8,0.8,0.9,1000,0.001,9,0.16,0.3666060555964672
8,0.9,0.1,1000,1e-10,9,0.94,0.23748684174075832
8,0.9,0.1,1000,0.001,11,0.61,0.4877499359302879
8,0.9,0.2,1000,1e-10,4,0.92,0.2712931993250107
8,0.9,0.2,1000,0.001,11,0.15,0.3570714214271425
8,0.9,0.3,1000,1e-10,9,0.77,0.4208325082500163
8,0.9,0.3,1000,0.001,9,0.81,0.39230090491866065
8,0.9,0.4,1000,1e-10,3,0.85,0.3570714214271425
8,0.9,0.4,1000,0.001,6,0.85,0.3570714214271425
8,0.9,0.5,1000,1e-10,8,0.93,0.25514701644346144
8,0.9,0.5,1000,0.001,7,0.69,0.46249324319388707
8,0.9,0.6,1000,1e-10,4,0.95,0.21794494717703372
8,0.9,0.6,1000,0.001,4,0.97,0.17058722109231983
8,0.9,0.7,1000,1e-10,8,0.7,0.45825756949558394
8,0.9,0.7,1000,0.001,3,0.84,0.36660605559646725
8,0.9,0.8,1000,1e-10,4,0.91,0.2861817604250837
8,0.9,0.8,1000,0.001,5,0.76,0.42708313008125254
8,0.9,0.9,1000,1e-10,5,0.91,0.2861817604250837
8,0.9,0.9,1000,0.001,6,0.53,0.4990991885387111
8,1.0,0.1,1000,1e-10,5,0.99,0.09949874371066199
8,1.0,0.1,1000,0.001,10,0.99,0.09949874371066199
8,1.0,0.2,1000,1e-10,7,0.99,0.09949874371066199
8,1.0,0.2,1000,0.001,8,0.99,0.09949874371066199
8,1.0,0.3,1000,1e-10,4,0.98,0.13999999999999999
8,1.0,0.3,1000,0.001,11,0.99,0.09949874371066199
8,1.0,0.4,1000,1e-10,9,0.99,0.09949874371066199
8,1.0,0.4,1000,0.001,8,0.99,0.09949874371066199
8,1.0,0.5,1000,1e-10,8,0.98,0.13999999999999999
8,1.0,0.5,1000,0.001,5,1.0,0.0
8,1.0,0.6,1000,1e-10,3,0.99,0.09949874371066199
8,1.0,0.6,1000,0.001,7,0.97,0.1705872210923198
8,1.0,0.7,1000,1e-10,6,0.98,0.13999999999999999
8,1.0,0.7,1000,0.001,6,0.99,0.09949874371066199
8,1.0,0.8,1000,1e-10,5,1.0,0.0
8,1.0,0.8,1000,0.001,5,0.99,0.09949874371066199
8,1.0,0.9,1000,1e-10,5,0.98,0.13999999999999999
8,1.0,0.9,1000,0.001,4,0.98,0.13999999999999999
10,0.8,0.1,1000,1e-10,19,0.08,0.2712931993250107
10,0.8,0.1,1000,0.001,19,0.06,0.23748684174075832
10,0.8,0.2,1000,1e-10,12,0.62,0.48538644398046393
10,0.8,0.2,1000,0.001,16,0.3,0.45825756949558394
10,0.8,0.3,1000,1e-10,8,0.03,0.17058722109231983
10,0.8,0.3,1000,0.001,14,0.53,0.4990991885387111
10,0.8,0.4,1000,1e-10,7,0.05,0.21794494717703367
10,0.8,0.4,1000,0.001,11,0.4,0.48989794855663565
10,0.8,0.5,1000,1e-10,5,0.33,0.47021271782034985
10,0.8,0.5,1000,0.001,14,0.53,0.49909918853871116
10,0.8,0.6,1000,1e-10,6,0.01,0.09949874371066199
10,0.8,0.6,1000,0.001,8,0.2,0.4
10,0.8,0.7,1000,1e-10,5,0.1,0.3
10,0.8,0.7,1000,0.001,5,0.12,0.3249615361854384
10,0.8,0.8,1000,1e-10,5,0.07,0.25514701644346144
10,0.8,0.8,1000,0.001,6,0.13,0.33630343441600474
10,0.8,0.9,1000,1e-10,4,0.01,0.09949874371066199
10,0.8,0.9,1000,0.001,5,0.12,0.32496153618543844
10,0.9,0.1,1000,1e-10,12,0.79,0.40730823708832603
10,0.9,0.1,1000,0.001,17,0.66,0.4737087712930805
10,0.9,0.2,1000,1e-10,11,0.57,0.4950757517794625
10,0.9,0.2,1000,0.001,14,0.5,0.5
10,0.9,0.3,1000,1e-10,6,0.42,0.49355850717012273
10,0.9,0.3,1000,0.001,11,0.45,0.49749371855331
10,0.9,0.4,1000,1e-10,6,0.6,0.48989794855663565
10,0.9,0.4,1000,0.001,11,0.38,0.4853864439804639
10,0.9,0.5,1000,1e-10,4,0.8,0.4
10,0.9,0.5,1000,0.001,6,0.84,0.36660605559646725
10,0.9,0.6,1000,1e-10,3,0.58,0.49355850717012273
10,0.9,0.6,1000,0.001,8,0.48,0.49959983987187184
10,0.9,0.7,1000,1e-10,12,0.35,0.4769696007084728
10,0.9,0.7,1000,0.001,5,0.72,0.4489988864128729
10,0.9,0.8,1000,1e-10,6,0.9,0.3
10,0.9,0.8,1000,0.001,8,0.8,0.4
10,0.9,0.9,1000,1e-10,5,0.57,0.49507575177946245
10,0.9,0.9,1000,0.001,3,0.85,0.3570714214271425
10,1.0,0.1,1000,1e-10,5,0.94,0.23748684174075835
10,1.0,0.1,1000,0.001,20,0.94,0.23748684174075835
10,1.0,0.2,1000,1e-10,5,0.98,0.13999999999999999
10,1.0,0.2,1000,0.001,16,0.94,0.23748684174075835
10,1.0,0.3,1000,1e-10,4,0.94,0.23748684174075835
10,1.0,0.3,1000,0.001,15,0.98,0.13999999999999999
10,1.0,0.4,1000,1e-10,4,0.98,0.13999999999999999
10,1.0,0.4,1000,0.001,13,0.97,0.17058722109231983
10,1.0,0.5,1000,1e-10,6,0.96,0.19595917942265426
10,1.0,0.5,1000,0.001,10,0.99,0.09949874371066199
10,1.0,0.6,1000,1e-10,22,0.96,0.19595917942265423
10,1.0,0.6,1000,0.001,14,0.93,0.2551470164434615
10,1.0,0.7,1000,1e-10,5,0.99,0.09949874371066199
10,1.0,0.7,1000,0.001,6,0.99,0.09949874371066199
10,1.0,0.8,1000,1e-10,19,0.96,0.1959591794226542
10,1.0,0.8,1000,0.001,5,0.97,0.17058722109231983
10,1.0,0.9,1000,1e-10,9,0.99,0.09949874371066199
10,1.0,0.9,1000,0.001,3,0.98,0.13999999999999999
12,0.8,0.1,1000,1e-10,8,0.18,0.38418745424597095
12,0.8,0.1,1000,0.001,22,0.01,0.09949874371066199
12,0.8,0.2,1000,1e-10,15,0.1,0.3
12,0.8,0.2,1000,0.001,18,0.25,0.4330127018922193
12,0.8,0.3,1000,1e-10,9,0.04,0.19595917942265426
12,0.8,0.3,1000,0.001,23,0.02,0.13999999999999999
12,0.8,0.4,1000,1e-10,16,0.0,0.0
12,0.8,0.4,1000,0.001,18,0.06,0.23748684174075835
12,0.8,0.5,1000,1e-10,6,0.16,0.36660605559646725
12,0.8,0.5,1000,0.001,19,0.0,0.0
12,0.8,0.6,1000,1e-10,16,0.0,0.0
12,0.8,0.6,1000,0.001,20,0.01,0.09949874371066199
12,0.8,0.7,1000,1e-10,6,0.03,0.17058722109231983
12,0.8,0.7,1000,0.001,13,0.34,0.4737087712930804
12,0.8,0.8,1000,1e-10,6,0.08,0.2712931993250107
12,0.8,0.8,1000,0.001,10,0.01,0.09949874371066199
12,0.8,0.9,1000,1e-10,15,0.1,0.3
12,0.8,0.9,1000,0.001,14,0.03,0.17058722109231983
12,0.9,0.1,1000,1e-10,17,0.43,0.4950757517794625
12,0.9,0.1,1000,0.001,20,0.45,0.49749371855331004
12,0.9,0.2,1000,1e-10,15,0.7,0.45825756949558394
12,0.9,0.2,1000,0.001,22,0.46,0.49839743177508444
12,0.9,0.3,1000,1e-10,4,0.78,0.41424630354415964
12,0.9,0.3,1000,0.001,15,0.69,0.462493243193887
12,0.9,0.4,1000,1e-10,5,0.38,0.48538644398046393
12,0.9,0.4,1000,0.001,15,0.21,0.4073082370883261
12,0.9,0.5,1000,1e-10,6,0.78,0.4142463035441596
12,0.9,0.5,1000,0.001,16,0.45,0.49749371855331
12,0.9,0.6,1000,1e-10,5,0.37,0.4828043081829324
12,0.9,0.6,1000,0.001,18,0.87,0.33630343441600474
12,0.9,0.7,1000,1e-10,8,0.7,0.458257569495584
12,0.9,0.7,1000,0.001,12,0.19,0.39230090491866065
12,0.9,0.8,1000,1e-10,4,0.69,0.46249324319388707
12,0.9,0.8,1000,0.001,12,0.32,0.46647615158762396
12,0.9,0.9,1000,1e-10,11,0.33,0.47021271782034985
12,0.9,0.9,1000,0.001,4,0.59,0.4918333050943175
12,1.0,0.1,1000,1e-10,12,0.89,0.31288975694324034
12,1.0,0.1,1000,0.001,20,0.89,0.31288975694324034
12,1.0,0.2,1000,1e-10,4,0.91,0.2861817604250837
12,1.0,0.2,1000,0.001,23,0.91,0.2861817604250837
12,1.0,0.3,1000,1e-10,11,0.93,0.2551470164434615
12,1.0,0.3,1000,0.001,22,0.87,0.33630343441600474
12,1.0,0.4,1000,1e-10,14,0.93,0.2551470164434615
12,1.0,0.4,1000,0.001,21,0.91,0.28618176042508375
12,1.0,0.5,1000,1e-10,3,0.93,0.25514701644346144
12,1.0,0.5,1000,0.001,16,0.93,0.25514701644346144
12,1.0,0.6,1000,1e-10,7,0.91,0.2861817604250837
12,1.0,0.6,1000,0.001,20,0.95,0.21794494717703375
12,1.0,0.7,1000,1e-10,7,0.95,0.21794494717703375
12,1.0,0.7,1000,0.001,14,0.96,0.19595917942265423
12,1.0,0.8,1000,1e-10,8,0.94,0.23748684174075835
12,1.0,0.8,1000,0.001,7,0.96,0.19595917942265428
12,1.0,0.9,1000,1e-10,7,0.94,0.23748684174075835
12,1.0,0.9,1000,0.001,8,0.95,0.21794494717703372
14,0.8,0.1,1000,1e-10,17,0.02,0.13999999999999999
14,0.8,0.1,1000,0.001,22,0.07,0.25514701644346144
14,0.8,0.2,1000,1e-10,23,0.07,0.25514701644346144
14,0.8,0.2,1000,0.001,20,0.0,0.0
14,0.8,0.3,1000,1e-10,10,0.01,0.09949874371066199
14,0.8,0.3,1000,0.001,22,0.01,0.09949874371066199
14,0.8,0.4,1000,1e-10,7,0.06,0.23748684174075835
14,0.8,0.4,1000,0.001,16,0.0,0.0
14,0.8,0.5,1000,1e-10,8,0.15,0.3570714214271425
14,0.8,0.5,1000,0.001,17,0.09,0.28618176042508375
14,0.8,0.6,1000,1e-10,7,0.19,0.39230090491866065
14,0.8,0.6,1000,0.001,18,0.01,0.09949874371066199
14,0.8,0.7,1000,1e-10,5,0.1,0.3
14,0.8,0.7,1000,0.001,12,0.11,0.31288975694324034
14,0.8,0.8,1000,1e-10,5,0.05,0.2179449471770337
14,0.8,0.8,1000,0.001,14,0.07,0.25514701644346144
14,0.8,0.9,1000,1e-10,5,0.13,0.33630343441600474
14,0.8,0.9,1000,0.001,9,0.1,0.3
14,0.9,0.1,1000,1e-10,10,0.59,0.49183330509431744
14,0.9,0.1,1000,0.001,22,0.56,0.4963869458396343
14,0.9,0.2,1000,1e-10,7,0.37,0.48280430818293246
14,0.9,0.2,1000,0.001,19,0.44,0.49638694583963433
14,0.9,0.3,1000,1e-10,5,0.58,0.49355850717012273
