map_size,p_frozen,gamma,n_iters,theta,n_i,mean_reward,stdev_reward
4,1.0,0.8,1000,1e-10,68,1.0,0.0
4,1.0,0.8,1000,0.001,18,1.0,0.0
4,1.0,0.9,1000,1e-10,106,1.0,0.0
4,1.0,0.9,1000,0.001,27,1.0,0.0
4,1.0,1.0,1000,1e-10,212,1.0,0.0
4,1.0,1.0,1000,0.001,54,1.0,0.0
6,0.6,0.1,1000,1e-10,10,0.01,0.09949874371066199
6,0.6,0.1,1000,0.001,4,0.0,0.0
6,0.6,0.2,1000,1e-10,13,0.05,0.21794494717703367
6,0.6,0.2,1000,0.001,4,0.0,0.0
6,0.6,0.3,1000,1e-10,16,0.02,0.13999999999999999
6,0.6,0.3,1000,0.001,5,0.0,0.0
6,0.6,0.4,1000,1e-10,21,0.13,0.33630343441600474
6,0.6,0.4,1000,0.001,6,0.0,0.0
6,0.6,0.5,1000,1e-10,25,0.0,0.0
6,0.6,0.5,1000,0.001,6,0.0,0.0
6,0.6,0.6,1000,1e-10,37,0.23,0.4208325082500163
6,0.6,0.6,1000,0.001,8,0.0,0.0
6,0.6,0.7,1000,1e-10,53,0.15,0.3570714214271425
6,0.6,0.7,1000,0.001,11,0.03,0.17058722109231983
6,0.6,0.8,1000,1e-10,76,0.03,0.17058722109231983
6,0.6,0.8,1000,0.001,15,0.04,0.19595917942265423
6,0.6,0.9,1000,1e-10,135,0.22,0.4142463035441596
6,0.6,0.9,1000,0.001,23,0.22,0.41424630354415964
6,0.6,1.0,1000,1e-10,820,0.54,0.49839743177508444
6,0.6,1.0,1000,0.001,134,0.22,0.41424630354415964
6,0.7,0.1,1000,1e-10,10,0.69,0.462493243193887
6,0.7,0.1,1000,0.001,4,0.0,0.0
6,0.7,0.2,1000,1e-10,13,0.18,0.384187454245971
6,0.7,0.2,1000,0.001,4,0.0,0.0
6,0.7,0.3,1000,1e-10,18,0.65,0.4769696007084728
6,0.7,0.3,1000,0.001,5,0.53,0.49909918853871116
6,0.7,0.4,1000,1e-10,22,0.14,0.34698703145794946
6,0.7,0.4,1000,0.001,6,0.0,0.0
6,0.7,0.5,1000,1e-10,29,0.57,0.4950757517794625
6,0.7,0.5,1000,0.001,7,0.06,0.23748684174075832
6,0.7,0.6,1000,1e-10,35,0.13,0.33630343441600474
6,0.7,0.6,1000,0.001,9,0.16,0.36660605559646725
6,0.7,0.7,1000,1e-10,51,0.0,0.0
6,0.7,0.7,1000,0.001,10,0.05,0.21794494717703367
6,0.7,0.8,1000,1e-10,78,0.35,0.47696960070847283
6,0.7,0.8,1000,0.001,16,0.3,0.45825756949558394
6,0.7,0.9,1000,1e-10,154,0.08,0.2712931993250107
6,0.7,0.9,1000,0.001,19,0.04,0.19595917942265428
6,0.7,1.0,1000,1e-10,841,0.54,0.49839743177508444
6,0.7,1.0,1000,0.001,136,0.69,0.462493243193887
6,0.8,0.1,1000,1e-10,10,0.49,0.49989998999799945
6,0.8,0.1,1000,0.001,3,0.0,0.0
6,0.8,0.2,1000,1e-10,14,0.66,0.4737087712930805
6,0.8,0.2,1000,0.001,4,0.0,0.0
6,0.8,0.3,1000,1e-10,18,0.34,0.4737087712930804
6,0.8,0.3,1000,0.001,5,0.0,0.0
6,0.8,0.4,1000,1e-10,23,0.98,0.13999999999999999
6,0.8,0.4,1000,0.001,6,0.86,0.34698703145794946
6,0.8,0.5,1000,1e-10,29,0.94,0.23748684174075835
6,0.8,0.5,1000,0.001,8,0.63,0.4828043081829324
6,0.8,0.6,1000,1e-10,38,0.6,0.48989794855663565
6,0.8,0.6,1000,0.001,9,0.0,0.0
6,0.8,0.7,1000,1e-10,53,0.99,0.09949874371066199
6,0.8,0.7,1000,0.001,12,0.87,0.33630343441600474
6,0.8,0.8,1000,1e-10,81,0.69,0.46249324319388707
6,0.8,0.8,1000,0.001,18,0.47,0.49909918853871116
6,0.8,0.9,1000,1e-10,150,0.43,0.4950757517794625
6,0.8,0.9,1000,0.001,28,0.45,0.49749371855331004
6,0.8,1.0,1000,1e-10,351,1.0,0.0
6,0.8,1.0,1000,0.001,98,0.98,0.13999999999999999
6,0.9,0.1,1000,1e-10,10,0.33,0.47021271782034985
6,0.9,0.1,1000,0.001,4,0.0,0.0
6,0.9,0.2,1000,1e-10,14,0.88,0.3249615361854384
6,0.9,0.2,1000,0.001,4,0.0,0.0
6,0.9,0.3,1000,1e-10,18,0.99,0.09949874371066199
6,0.9,0.3,1000,0.001,5,0.0,0.0
6,0.9,0.4,1000,1e-10,23,0.72,0.4489988864128729
6,0.9,0.4,1000,0.001,6,0.8,0.4
6,0.9,0.5,1000,1e-10,25,0.07,0.2551470164434615
6,0.9,0.5,1000,0.001,8,0.71,0.4537620521815371
6,0.9,0.6,1000,1e-10,38,0.61,0.4877499359302879
6,0.9,0.6,1000,0.001,9,0.53,0.49909918853871116
6,0.9,0.7,1000,1e-10,53,0.95,0.21794494717703375
6,0.9,0.7,1000,0.001,12,0.94,0.23748684174075835
6,0.9,0.8,1000,1e-10,76,0.35,0.4769696007084728
6,0.9,0.8,1000,0.001,18,0.95,0.2179449471770337
6,0.9,0.9,1000,1e-10,125,1.0,0.0
6,0.9,0.9,1000,0.001,32,0.93,0.2551470164434615
6,0.9,1.0,1000,1e-10,370,1.0,0.0
6,0.9,1.0,1000,0.001,82,1.0,0.0
6,1.0,0.1,1000,1e-10,10,1.0,0.0
6,1.0,0.1,1000,0.001,4,0.0,0.0
