map_size,p_frozen,gamma,is_slippery,move_cost,iter_type,n_i,runtime(s)
10,0.7,0.6,False,-0.01,policy,38,0.01
10,0.7,0.6,True,0,value,12,0.01
10,0.7,0.6,True,0,policy,31,0.03
10,0.7,0.6,True,-0.01,value,7,0.01
10,0.7,0.6,True,-0.01,policy,25,0.02
10,0.7,0.7,False,0,value,5,0.00
10,0.7,0.7,False,0,policy,19,0.01
10,0.7,0.7,False,-0.01,value,13,0.00
10,0.7,0.7,False,-0.01,policy,53,0.01
10,0.7,0.7,True,0,value,12,0.01
10,0.7,0.7,True,0,policy,40,0.02
10,0.7,0.7,True,-0.01,value,9,0.02
10,0.7,0.7,True,-0.01,policy,30,0.01
10,0.7,0.8,False,0,value,5,0.00
10,0.7,0.8,False,0,policy,19,0.01
10,0.7,0.8,False,-0.01,value,12,0.02
10,0.7,0.8,False,-0.01,policy,84,0.02
10,0.7,0.8,True,0,value,12,0.02
10,0.7,0.8,True,0,policy,55,0.05
10,0.7,0.8,True,-0.01,value,9,0.02
10,0.7,0.8,True,-0.01,policy,37,0.03
10,0.7,0.9,False,0,value,12,0.00
10,0.7,0.9,False,0,policy,19,0.02
10,0.7,0.9,False,-0.01,value,12,0.05
10,0.7,0.9,False,-0.01,policy,176,0.03
10,0.7,0.9,True,0,value,13,0.04
10,0.7,0.9,True,0,policy,82,0.04
10,0.7,0.9,True,-0.01,value,6,0.04
10,0.7,0.9,True,-0.01,policy,60,0.03
10,0.8,0.1,False,0,value,6,0.00
10,0.8,0.1,False,0,policy,12,0.01
10,0.8,0.1,False,-0.01,value,13,0.00
10,0.8,0.1,False,-0.01,policy,12,0.01
10,0.8,0.1,True,0,value,15,0.01
10,0.8,0.1,True,0,policy,10,0.01
10,0.8,0.1,True,-0.01,value,6,0.00
10,0.8,0.1,True,-0.01,policy,10,0.01
10,0.8,0.2,False,0,value,6,0.00
10,0.8,0.2,False,0,policy,16,0.01
10,0.8,0.2,False,-0.01,value,14,0.00
10,0.8,0.2,False,-0.01,policy,16,0.01
10,0.8,0.2,True,0,value,14,0.01
10,0.8,0.2,True,0,policy,14,0.01
10,0.8,0.2,True,-0.01,value,6,0.01
10,0.8,0.2,True,-0.01,policy,13,0.01
10,0.8,0.3,False,0,value,5,0.00
10,0.8,0.3,False,0,policy,19,0.01
10,0.8,0.3,False,-0.01,value,12,0.01
10,0.8,0.3,False,-0.01,policy,19,0.01
10,0.8,0.3,True,0,value,14,0.01
10,0.8,0.3,True,0,policy,18,0.01
10,0.8,0.3,True,-0.01,value,6,0.00
10,0.8,0.3,True,-0.01,policy,17,0.01
10,0.8,0.4,False,0,value,4,0.00
10,0.8,0.4,False,0,policy,19,0.00
10,0.8,0.4,False,-0.01,value,13,0.00
10,0.8,0.4,False,-0.01,policy,19,0.00
10,0.8,0.4,True,0,value,13,0.02
10,0.8,0.4,True,0,policy,23,0.02
10,0.8,0.4,True,-0.01,value,4,0.01
10,0.8,0.4,True,-0.01,policy,22,0.01
10,0.8,0.5,False,0,value,5,0.00
10,0.8,0.5,False,0,policy,19,0.01
10,0.8,0.5,False,-0.01,value,14,0.01
10,0.8,0.5,False,-0.01,policy,19,0.01
10,0.8,0.5,True,0,value,12,0.00
10,0.8,0.5,True,0,policy,29,0.01
10,0.8,0.5,True,-0.01,value,4,0.01
10,0.8,0.5,True,-0.01,policy,28,0.02
10,0.8,0.6,False,0,value,4,0.00
10,0.8,0.6,False,0,policy,19,0.01
10,0.8,0.6,False,-0.01,value,11,0.00
10,0.8,0.6,False,-0.01,policy,19,0.00
10,0.8,0.6,True,0,value,12,0.02
10,0.8,0.6,True,0,policy,39,0.02
10,0.8,0.6,True,-0.01,value,4,0.01
10,0.8,0.6,True,-0.01,policy,37,0.02
10,0.8,0.7,False,0,value,5,0.00
10,0.8,0.7,False,0,policy,19,0.01
10,0.8,0.7,False,-0.01,value,11,0.00
10,0.8,0.7,False,-0.01,policy,19,0.02
10,0.8,0.7,True,0,value,14,0.03
10,0.8,0.7,True,0,policy,53,0.03
10,0.8,0.7,True,-0.01,value,5,0.04
10,0.8,0.7,True,-0.01,policy,51,0.03
10,0.8,0.8,False,0,value,6,0.00
10,0.8,0.8,False,0,policy,19,0.01
10,0.8,0.8,False,-0.01,value,14,0.00
10,0.8,0.8,False,-0.01,policy,19,0.02
10,0.8,0.8,True,0,value,13,0.04
10,0.8,0.8,True,0,policy,81,0.05
10,0.8,0.8,True,-0.01,value,6,0.04
