map_size,p_frozen,gamma,is_slippery,move_cost,iter_type,n_i,mean_reward,stdev_reward
10,0.7,0.2,True,-0.01,value,12,-0.0123,0.015738805545529817
10,0.7,0.2,True,-0.01,policy,8,-0.0123,0.015738805545529817
10,0.7,0.3,False,0.0,value,19,2.0,0.0
10,0.7,0.3,False,0.0,policy,13,2.0,0.0
10,0.7,0.3,False,-0.01,value,19,1.83,0.0
10,0.7,0.3,False,-0.01,policy,12,1.83,0.0
10,0.7,0.3,True,0.0,value,16,0.0,0.0
10,0.7,0.3,True,0.0,policy,9,0.0,0.0
10,0.7,0.3,True,-0.01,value,15,-0.0123,0.015738805545529817
10,0.7,0.3,True,-0.01,policy,4,-0.0123,0.015738805545529817
10,0.7,0.4,False,0.0,value,19,2.0,0.0
10,0.7,0.4,False,0.0,policy,12,2.0,0.0
10,0.7,0.4,False,-0.01,value,22,1.83,0.0
10,0.7,0.4,False,-0.01,policy,12,1.83,0.0
10,0.7,0.4,True,0.0,value,20,0.0,0.0
10,0.7,0.4,True,0.0,policy,10,0.0,0.0
10,0.7,0.4,True,-0.01,value,18,-0.0123,0.015738805545529817
10,0.7,0.4,True,-0.01,policy,6,-0.0123,0.015738805545529817
10,0.7,0.5,False,0.0,value,19,2.0,0.0
10,0.7,0.5,False,0.0,policy,12,2.0,0.0
10,0.7,0.5,False,-0.01,value,28,1.83,0.0
10,0.7,0.5,False,-0.01,policy,12,1.83,0.0
10,0.7,0.5,True,0.0,value,25,0.0,0.0
10,0.7,0.5,True,0.0,policy,6,0.0,0.0
10,0.7,0.5,True,-0.01,value,21,-0.0123,0.015738805545529817
10,0.7,0.5,True,-0.01,policy,8,-0.0123,0.015738805545529817
10,0.7,0.6,False,0.0,value,19,2.0,0.0
10,0.7,0.6,False,0.0,policy,13,2.0,0.0
10,0.7,0.6,False,-0.01,value,38,1.83,0.0
10,0.7,0.6,False,-0.01,policy,12,1.83,0.0
10,0.7,0.6,True,0.0,value,31,0.0,0.0
10,0.7,0.6,True,0.0,policy,7,0.0,0.0
10,0.7,0.6,True,-0.01,value,25,-0.0123,0.015738805545529817
10,0.7,0.6,True,-0.01,policy,5,-0.0123,0.015738805545529817
10,0.7,0.7,False,0.0,value,19,2.0,0.0
10,0.7,0.7,False,0.0,policy,13,2.0,0.0
10,0.7,0.7,False,-0.01,value,53,1.83,0.0
10,0.7,0.7,False,-0.01,policy,12,1.83,0.0
10,0.7,0.7,True,0.0,value,40,0.0,0.0
10,0.7,0.7,True,0.0,policy,9,0.0,0.0
10,0.7,0.7,True,-0.01,value,30,-0.0123,0.015738805545529817
10,0.7,0.7,True,-0.01,policy,5,-0.0123,0.015738805545529817
10,0.7,0.8,False,0.0,value,19,2.0,0.0
10,0.7,0.8,False,0.0,policy,12,2.0,0.0
10,0.7,0.8,False,-0.01,value,84,1.83,0.0
10,0.7,0.8,False,-0.01,policy,12,1.83,0.0
10,0.7,0.8,True,0.0,value,55,0.0,0.0
10,0.7,0.8,True,0.0,policy,9,0.0,0.0
10,0.7,0.8,True,-0.01,value,37,-0.0123,0.015738805545529817
10,0.7,0.8,True,-0.01,policy,12,-0.0123,0.015738805545529817
10,0.7,0.9,False,0.0,value,19,2.0,0.0
10,0.7,0.9,False,0.0,policy,12,2.0,0.0
10,0.7,0.9,False,-0.01,value,176,1.83,0.0
10,0.7,0.9,False,-0.01,policy,13,1.83,0.0
10,0.7,0.9,True,0.0,value,82,0.0,0.0
